ticker,close,date,high,low,month,open,volume,sector
ADANIENT,2843.35,2023-12-27 05:30:00,2894.8,2833.6,2023-12,2880.7,1698325,Conglomerate
ADANIENT,2959.35,2023-12-05 05:30:00,2999.9,2531.2,2023-12,2531.2,22879079,Conglomerate
ADANIENT,2809.9,2023-12-28 05:30:00,2867.35,2800.1,2023-12,2855.0,4102912,Conglomerate
ADANIENT,2822.15,2023-12-08 05:30:00,2927.0,2760.0,2023-12,2902.7,6959428,Conglomerate
ADANIENT,2980.6,2023-12-18 05:30:00,3027.75,2961.1,2023-12,2993.95,2315922,Conglomerate
ADANIENT,2875.05,2023-12-13 05:30:00,2899.1,2805.0,2023-12,2860.0,2805832,Conglomerate
ADANIENT,3309.05,2024-06-18 05:30:00,3345.0,3287.2,2024-06,3310.0,1755612,Conglomerate
ADANIENT,3261.75,2024-06-14 05:30:00,3275.0,3221.1,2024-06,3225.0,4224855,Conglomerate
ADANIENT,3194.6,2024-06-24 05:30:00,3214.8,3135.0,2024-06,3185.75,3261647,Conglomerate
ADANIENT,3170.5,2024-06-26 05:30:00,3187.7,3163.9,2024-06,3169.05,2142889,Conglomerate
ADANIENT,3221.25,2024-06-11 05:30:00,3265.0,3195.05,2024-06,3224.0,4173692,Conglomerate
ADANIENT,3224.8,2024-06-13 05:30:00,3254.0,3207.25,2024-06,3230.0,3202978,Conglomerate
ADANIENT,3645.25,2024-06-03 05:30:00,3743.9,3586.05,2024-06,3725.0,8511359,Conglomerate
ADANIENT,3220.1,2024-06-10 05:30:00,3284.4,3205.5,2024-06,3267.0,4935698,Conglomerate
ADANIENT,3115.35,2024-06-05 05:30:00,3150.0,2750.0,2024-06,3030.0,8778345,Conglomerate
ADANIENT,3177.15,2024-06-28 05:30:00,3211.95,3157.0,2024-06,3190.0,960905,Conglomerate
ADANIENT,3261.9,2024-06-19 05:30:00,3314.0,3226.3,2024-06,3314.0,1419264,Conglomerate
ADANIENT,3219.05,2024-06-12 05:30:00,3245.0,3208.0,2024-06,3224.9,3022477,Conglomerate
ADANIENT,2941.25,2024-06-04 05:30:00,3520.0,2733.95,2024-06,3520.0,20306909,Conglomerate
ADANIENT,3189.3,2024-06-21 05:30:00,3277.1,3176.4,2024-06,3265.05,4697655,Conglomerate
ADANIENT,3219.55,2024-06-07 05:30:00,3233.75,3151.6,2024-06,3170.4,4740455,Conglomerate
ADANIENT,3171.1,2024-06-25 05:30:00,3208.45,3156.35,2024-06,3204.75,1694962,Conglomerate
ADANIENT,3185.65,2024-06-06 05:30:00,3222.4,3137.15,2024-06,3184.0,5873271,Conglomerate
ADANIENT,3175.15,2024-06-27 05:30:00,3202.25,3150.0,2024-06,3177.0,5114980,Conglomerate
ADANIENT,3259.45,2024-06-20 05:30:00,3315.0,3240.0,2024-06,3263.9,1366545,Conglomerate
ADANIENT,2903.65,2024-11-11 05:30:00,2946.8,2888.0,2024-11,2928.0,584144,Conglomerate
ADANIENT,2228.0,2024-11-22 05:30:00,2289.7,2025.0,2024-11,2101.0,20939196,Conglomerate
ADANIENT,2915.55,2024-11-05 05:30:00,2924.0,2870.0,2024-11,2897.4,752303,Conglomerate
ADANIENT,3046.25,2024-11-06 05:30:00,3070.0,2918.0,2024-11,2918.0,1676755,Conglomerate
ADANIENT,2826.8,2024-11-14 05:30:00,2844.8,2801.0,2024-11,2824.0,646797,Conglomerate
ADANIENT,2929.1,2024-11-08 05:30:00,2995.0,2911.25,2024-11,2965.1,835641,Conglomerate
